word	k	p	sqrt_kp	sum	DF
chapter	119.709895464119	0.99035251042282	119.713991956351	165	142
the	1.88857059659386	0.0187414160070418	1.88866358544682	14056	142
father	0.129646330834332	0.479299789477298	0.496524379352905	20	13
rose	0.119205596684864	0.325982982838112	0.347094914081188	35	18
and	1.70218082695773	0.0370369212346949	1.70258371341824	6286	142
in.	1.89942717940145	0.0622853393640081	1.90044812435084	4061	142
a	1.55505557354367	0.0460123747452732	1.55573615225684	4579	142
mild	0.198252204240434	0.51044239762755	0.547590520171737	27	18
voice	0.79195141945073	0.705249189923447	1.06045436990834	47	34
of	1.74142839904786	0.0371579087962464	1.7418247842985	6409	142
people	0.665087500165077	0.677285598601406	0.949240309378344	45	33
to	1.63629382879174	0.0488576479729881	1.63702307983345	4524	142
starboard	0.218481197627704	0.64601233313908	0.681957453426996	17	13
there	1.33543778446711	0.182932477015229	1.34790888687973	847	126
side	0.905642700360223	0.38781926650074	0.985186522535164	203	82
away	1.11681925604802	0.465630792128413	1.20999887820518	182	83
was	0.710534517925215	0.0588775520342857	0.712969752020917	1613	122
low	0.19292814337546	0.412613584823013	0.455490108440129	39	22
heavy	0.609822185627188	0.700634871650348	0.9288553824227	37	28
sea	0.849387804885307	0.21786690836943	0.876884047551518	433	101
boots	0.0295244964206127	0.230501197175359	0.232384375094722	14	6
among	1.52871064670784	0.577213903332545	1.63405389493685	159	81
still	1.04393764466167	0.3227934550181	1.09270372038548	311	104
women	0.107996514324655	0.582312699469824	0.592242625171566	11	8
s	1.18902018679796	0.0890619431782782	1.19235105331264	1727	137
all	1.57480558292088	0.129291940742343	1.58010411996796	1506	136
quiet	0.913122102887121	0.915290408806593	1.29288379494614	12	11
again	0.902176714118109	0.328393640731779	0.960086041336932	262	91
every	1.15477370655911	0.42264783081144	1.22968837607334	224	90
eye	0.427017160614468	0.41071482255176	0.592478118518285	87	45
on	1.43445533808367	0.16510894719523	1.44392627284106	1030	134
he	0.924075387476652	0.0661692497778209	0.926441412802928	1852	138
paused	0.324777293994936	0.74242629239847	0.810356150306278	16	13
little	0.624261314749566	0.26891118889145	0.679717159268375	241	82
then	1.57460728177496	0.263178558477206	1.59644951234321	626	128
bows	0.279800522175606	0.452875542436122	0.532338791698063	48	28
his	1.22185398887785	0.0653912349575002	1.22360254320836	2480	140
large	0.491113671368392	0.488574035105123	0.692746148299536	73	42
hands	0.624050189574407	0.409090458965373	0.746186064413129	128	61
across	0.558579366374816	0.718994803610354	0.91047484103537	31	24
chest	0.187321075504371	0.505697998374601	0.539276970478243	26	17
uplifted	0.471663317714518	0.870086846850079	0.989705717038645	10	9
closed	0.158422428418196	0.692268088626906	0.710163905276147	10	8
eyes	0.676133093503894	0.382496292070216	0.77682647584812	155	71
offered	0.265867748313304	0.758808249912153	0.804037076090357	12	10
so	1.66986950701011	0.184227111806606	1.68000113070402	1050	136
that	1.76758615023365	0.0764577548377331	1.76923898520597	3032	142
seemed	0.472768986056828	0.195078610420939	0.511435409823143	277	74
at	1.33876387848961	0.128096028222411	1.34487817842171	1294	135
bottom	0.647265830684198	0.629914690626872	0.903186344581699	54	36
this	1.83545940827056	0.159936437447822	1.84241442228192	1369	140
prolonged	0.206801313291623	0.727492671637223	0.756314994208765	11	9
solemn	9.62072209009542	0.991255741468079	9.67165350288375	12	12
like	1.60435442736966	0.264654024169931	1.6260365559021	633	127
continual	11.2421846788306	0.991272504047305	11.2858024761296	14	14
bell	0.0784384529955833	0.52692494789974	0.532731162620964	10	7
ship	0.531631339287747	0.131179314055864	0.547576381292191	500	95
is	1.53374457044247	0.115800409083131	1.53810992523472	1663	139
such	1.06460394235604	0.292874362249507	1.10415440321682	365	106
following	1.35383852963348	0.893142023200754	1.62190672910845	23	20
but	1.61439750633219	0.113196119973602	1.61836110619005	1796	137
manner	2.68902856658651	0.916031737682461	2.84077256681345	35	30
towards	0.643951766640534	0.447274001380235	0.784045859672858	113	58
concluding	0.193264309157313	0.713864851297155	0.739563465235785	11	9
burst	0.287450428903087	0.639599420743586	0.701224049852898	23	17
forth	0.778657835689432	0.688607609798579	1.03946547097682	50	35
with	1.71333405818737	0.126434509843198	1.71799280563805	1681	139
joy	0.301557063220102	0.727988110312401	0.787974207150306	16	13
ribs	0.0532697725595937	0.295894938804101	0.300651764469183	18	9
terrors	0.155348367927118	0.512302367158186	0.535338052835309	21	14
whale	0.688623218554763	0.0793882164979741	0.693184265582717	1134	116
arched	0.471663317714518	0.870086846850079	0.989705717038645	10	9
over	1.3595317766982	0.324977159303714	1.39783289627955	401	112
