word	k	p	sqrt_kp	sum	DF	DFtoWF	CPI	CPIcat
жил	42.4617087037176	0.988679035037238	42.4732173525116	261	227	0.869731800766284	36.9403078123376	HighCPI
себе	0.823331289282191	0.406023036799708	0.918002787753464	648	281	0.433641975308642	0.398084542220252	LowCPI
дед	0.0151742421163229	0.0721625905731366	0.0737407424835886	105	21	0.2	0.0147481484967177	VLowCPI
да	1.13818324615431	0.136981468155335	1.14639653891852	3858	478	0.123898392949715	0.142036688855119	VLowCPI
баба	0.0841427512260931	0.112537420538438	0.140515741485932	357	90	0.252100840336134	0.0354241365090586	VLowCPI
говорит	0.654110055982011	0.134735347927261	0.667842480917371	2260	378	0.167256637168142	0.111701087516268	VLowCPI
бабе	0.0848428431544876	0.684900772106399	0.690135766111624	21	17	0.80952380952381	0.558681334471315	MediumCPI
ты	0.743484068116737	0.167643122900022	0.762150100832562	1986	379	0.190835850956697	0.145445563049114	VLowCPI
пеки	1.0524527897184	0.99122480785459	1.44574669091525	5	5	1	1.44574669091525	HighCPI
пироги	0.0498711372055188	0.612152959590277	0.614181061464213	17	13	0.764705882352941	0.469667870531457	MediumCPI
а	1.16665212363604	0.0951944160118938	1.17052943338659	5966	491	0.0822996982903118	0.0963342192076457	VLowCPI
я	1.00494846325622	0.171007266574322	1.01939437855143	2621	443	0.169019458222053	0.172297485577369	LowCPI
поеду	0.310463588620633	0.830869062661749	0.886978601290704	34	30	0.882352941176471	0.782628177609445	HighCPI
за	0.819450085669287	0.144317176142267	0.832061229858164	2614	425	0.162586074980872	0.135281569506396	VLowCPI
рыбой	0.0177666898413933	0.656557069922212	0.656797412702547	5	4	0.8	0.525437930162038	MediumCPI
наловил	0.00996800658372075	0.472013595737009	0.472118836434042	6	4	0.666666666666667	0.314745890956028	LowCPI
рыбы	0.0306490110969445	0.478097084139502	0.479078473471637	18	12	0.666666666666667	0.319385648981092	LowCPI
везет	0.0270185643047391	0.349961539831136	0.351002966053093	27	15	0.555555555555556	0.195001647807274	LowCPI
