 ---
book	text	lemmata
11	agnim īLe purohitam	agni īḍ purohita
11	yajñasya devam ṛtvijam	yajña deva ṛtvij
11	hotāram ratnadhātamam	hotṛ ratna dhātama
11	agniḥ pūrvebhiḥ ṛṣibhiḥ	agni pūrva ṛṣi
11	īḍyaḥ nūtanaiḥ uta	īḍ nūtana uta
11	sa devān ā iha vakṣati	tad deva ā iha vah
11	agninā rayim aśnavat	agni rayi aś
11	poṣam eva divedive	poṣa eva diva diva
11	yaśasam vīravattamam	yaśas vīravattama
11	agne yam yajñam adhvaram	agni yad yajña adhvara
11	viśvataḥ paribhūḥ asi	viśvatas paribhū as
11	saḥ it deveṣu gacchati	tad id deva gam
11	agniḥ hotā kavikratuḥ	agni hotṛ kavi kratu
11	satyaḥ citraśravastamaḥ	satya citraśravastama
11	devaḥ devebhiḥ ā gamat	deva deva ā gam
11	yat aṅga dāśuṣe tvam	yat aṅga dāś tvad
11	agne bhadram kariṣyasi	agni bhadra kṛ
11	tava it tat satyam aṅgiraḥ	tvad id tad satya aṅgiras
11	upa tvā agne divedive	upa tvad agni diva diva
11	doṣāvastar dhiyā vayam	doṣāvastṛ dhī mad
11	namaḥ bharantaḥ ā imasi	namas bhṛ ā i
11	rājantam adhvarāṇām	rāj adhvara
11	gopām ṛtasya dīdivim	gopā ṛta dīdivi
11	vardhamānam sve dame	vṛdh sva dama
11	sa naḥ pitā iva sūnave	tad mad pitṛ iva sūnu
11	agne sūpāyanaḥ bhava	agni su upāyana bhū
11	sacasvā naḥ svastaye	sac mad svasti
 ---
12	vāyo ā yāhi darśata	vāyu ā yā darśata
12	ime somāḥ araṁkṛtāḥ	idam soma alaṃkṛ
12	teṣām pāhi śrudhī havam	tad pā śru hava
12	vāyo ukthebhiḥ jarante	vāyu uktha jṛ
12	tvām acchā jaritāraḥ	tvad acchā jaritṛ
12	sutasomāḥ aharvidaḥ	su soma ahar vid
12	vāyo tava prapṛñcatī	vāyu tvad prapṛc
12	dhenā jigāti dāśuṣe	dhenā gā dāś
12	urūcī somapītaye	uruvyañc soma pīti
12	indravāyū ime sutāḥ	indra vāyu idam suta
12	upa prayobhiḥ ā gatam	upa prayas ā gam
12	indavaḥ vām uśanti hi	indu tvad vaś hi
12	vāyo indraḥ ca cetathaḥ	vāyu indra ca cit
12	sutānām vājinīvasū	suta vājinī vasu
12	tau ā yātam upa dravat	tad ā yā upa dru
12	vāyo indraḥ ca sunvataḥ	vāyu indra ca su
12	ā yātam upa niṣkṛtam	ā yā upa niṣkṛta
12	makṣū itthā dhiyā narā	makṣū itthā dhī nara
12	mitram huve pūtadakṣam	mitra hvā pū dakṣa
12	varuṇam ca riśādasam	varuṇa ca riśādas
12	dhiyam ghṛtācīm sādhantā	dhī ghṛtāñc sādh
12	ṛtena mitrāvaruṇau	ṛta mitrāvaruṇa
12	ṛtāvṛdhau ṛtaspṛśā	ṛtāvṛdh ṛta spṛś
12	kratum bṛhantam āśāthe	kratu bṛhat aś
12	kavī naḥ mitrāvaruṇā	kavi mad mitrāvaruṇa
12	tuvijātau urukṣayā	tuvi jan uru kṣaya
12	dakṣam dadhāte apasam	dakṣa dhā apas
 ---
13	aśvinā yajvarīḥ iṣaḥ	aśvin yajvan iṣ
13	dravatpāṇī śubhaḥ patī	dru pāṇi śubh pati
13	purubhujā canasyatam	puru bhuj canasy
13	aśvinā purudaṁsasā	aśvin puru daṃsas
13	narā śavīrayā dhiyā	nara śavīra dhī
13	dhiṣṇyā vanatam giraḥ	dhiṣṇya van gir
13	dasrā yuvākavaḥ sutāḥ	dasra yuvāku suta
13	nāsatyā vṛktabarhiṣaḥ	nāsatya vṛj barhis
13	ā yātam rudravartanī	ā yā rudravartani
13	indra ā yāhi citrabhāno	indra ā yā citra bhānu
13	sutāḥ ime tvāyavaḥ	suta idam tvāyu
13	aṇvībhiḥ tanā pūtāsaḥ	aṇu tan pū
13	indra ā yāhi dhiyā iṣitaḥ	indra ā yā dhī iṣay
13	viprajūtaḥ sutāvataḥ	vipra jū sutāvat
13	upa brahmāṇi vāghataḥ	upa brahman vāghant
13	indra ā yāhi tūtujānaḥ	indra ā yā tuj
13	upa brahmāṇi harivaḥ	upa brahman harivat
13	sute dadhiṣva naḥ canaḥ	suta dhā mad canas
13	ā ūmāsaḥ carṣaṇīdhṛtaḥ	oma carṣaṇī dhṛt
13	viśve devāsaḥ ā gata	viśva deva ā gam
13	dāśvāṁsaḥ dāśuṣaḥ sutam	dāś dāś suta
13	viśve devāsaḥ apturaḥ	viśva deva aptur
13	sutam ā ganta tūrṇayaḥ	suta ā gam tūrṇi
13	usrāḥ iva svasarāṇi	usrā iva svasara
13	viśve devāsaḥ asridhaḥ	viśva deva asridh
13	ehimāyāsaḥ adruhaḥ	ehimāya adruh
13	medham juṣanta vahnayaḥ	medha juṣ vahni
13	pāvakā naḥ sarasvatī	pāvaka mad sarasvatī
13	vājebhiḥ vājinīvatī	vāja vājinīvat
13	yajñam vaṣTu dhiyāvasuḥ	yajña vaś dhiyāvasu
13	codayitrī sūnṛtānām	codayitṛ sūnṛta
13	cetantī sumatīnām	cit sumati
13	yajñam dadhe sarasvatī	yajña dhā sarasvatī
13	mahaḥ arṇaḥ sarasvatī	mah arṇas sarasvatī
13	pra cetayati ketunā	pra cetay ketu
13	dhiyaḥ viśvāḥ vi rājati	dhī viśva vi rāj
 ---
14	surūpakṛtnum ūtaye	su rūpa kṛtnu ūti
14	sudughām iva goduhe	su dugha iva goduh
14	juhūmasi dyavidyavi	hvā div div
14	upa naḥ savanā ā gahi	upa mad savana gam
14	somasya somapāḥ piba	soma soma pā pā
14	godāḥ it revataḥ madaḥ	go dā id revat mada
14	athā te antamānām	atha tvad antama
14	vidyāma sumatīnām	vid sumati
14	mā naḥ ati khyaḥ ā gahi	mā mad ati khyā ā gam
14	parā ihi vigram astṛtam	pare vigra astṛta
14	indram pṛcchā vipaścitam	indra pracch vipaścit
14	yaḥ te sakhibhyaḥ ā varam	yad tvad sakhi ā vara
14	uta bruvantu naḥ nidaḥ	uta brū mad nid
14	niḥ anyataḥ cit ārata	niḥ anyatas cit ṛch
14	dadhānāḥ indre it duvaḥ	dhā indra id duvas
14	uta naḥ subhagān ariḥ	uta mad subhaga ari
14	voceyuḥ dasma kṛṣTayaḥ	vac dasma kṛṣṭi
14	syāma it indrasya śarmaṇi	as id indra śarman
14	ā īm āśum āśave bhara	ā īṃ āśu āśu bhṛ
14	yajñaśriyam nṛmādanam	yajña śrī nṛ mādana
14	patayat mandayatsakham	patay manday sakha
14	asya pītvā śatakrato	idam pā śatakratu
14	ghanaḥ vṛtrāṇām abhavaḥ	ghana vṛtra bhū
14	pra āvaḥ vājeṣu vājinam	prāv vāja vājin
14	tam tvā vājeṣu vājinam	tad tvad vāja vājin
14	vājayāmaḥ śatakrato	vājay śatakratu
14	dhanānām indra sātaye	dhana indra sāti
14	yaḥ rāyaḥ avaniḥ mahān	yad rai avani mahat
14	supāraḥ sunvataḥ sakhā	su pāra su sakhi
14	tasmai indrāya gāyata	tad indra gā
 ---
15	ā tu ā itā ni sīdata	ā tu i ni sad
15	indram abhi pra gāyata	indra abhi pra gā
15	sakhāyaḥ stomavāhasaḥ	sakhi stoma vāhas
15	purūtamam purūṇām	purutama puru
15	īśānam vāryāṇām	īś vārya
15	indram some sacā sute	indra soma sacā su
15	sa ghā naḥ yoge ā bhuvat	tad gha mad yoga ā bhū
15	sa rāye sa puraṁdhyām	tad rai tad puraṃdhi
15	gamat vājebhiḥ ā sa naḥ	gam vāja ā tad mad
15	yasya saṁsthe na vṛṇvate	yad saṃstha na vṛ
15	harī samatsu śatravaḥ	hari samad śatru
15	tasmai indrāya gāyata	tad indra gā
15	sutapāvne sutāḥ ime	suta pāvan su idam
15	śucayaḥ yanti vītaye	śuci i vīti
15	somāsaḥ dadhyāśiraḥ	soma dadhi āśir
15	tvam sutasya pītaye	tva suta pā
15	sadyaḥ vṛddhaḥ ajāyathāḥ	sadyas vṛdh jan
15	indra jyaiṣThyāya sukrato	indra jyaiṣṭhya sukratu
15	ā tvā viśantu āśavaḥ	ā tvad viś āśu
15	somāsaḥ indra girvaṇaḥ	soma indra girvaṇas
15	śam te santu pracetase	śam tvad as pracetas
15	tvām stomāḥ avīvṛdhan	tvad stoma vṛdh
15	tvām ukthā śatakrato	tvad uktha śatakratu
15	tvām vardhantu naḥ giraḥ	tvad vṛdh mad gir
15	akṣitotiḥ sanet imam	akṣitoti san idam
15	vājam indraḥ sahasriṇam	vāja indra sahasrin
15	yasmin viśvāni pauṁsyā	yad viśva pauṃsya
15	mā naḥ martāḥ abhi druhan	mā mad marta abhi druh
15	tanūnām indra girvaṇaḥ	tanu indra girvaṇas
15	īśānaḥ yavayā vadham	īś yavay vadha
 ---
16	yuñjanti bradhnam aruṣam	yuj bradhna aruṣa
16	carantam pari tasthuṣaḥ	car pari sthā
16	rocante rocanā divi	ruc rocana div
16	yuñjanti asya kāmyā	yuj idam kāmya
16	harī vipakṣasā rathe	hari vipakṣas ratha
16	śoṇā dhṛṣṇū nṛvāhasā	śoṇa dhṛṣṇu nṛ vāhas
16	ketum kṛṇvan aketave	ketu kṛ aketu
16	peśaḥ maryāḥ apeśase	peśas marya apeśas
16	sam uṣadbhiḥ ajāyathāḥ	sam uṣas jan
16	āt aha svadhām anu	āt aha svadhā anu
16	punar garbhatvam erire	punar garbha tva er
16	dadhānāḥ nāma yajñiyam	dhā nāman yajñiya
16	vīLu cit ārujatnubhiḥ	vīḍu cit ārujatnu
16	guhā cit indra vahnibhiḥ	guhā cit indra vahni
16	avindaḥ usriyāḥ anu	vid usriyā anu
16	devayantaḥ yathā matim	devay yathā mati
16	acchā vidadvasum giraḥ	acchā vidadvasu gir
16	mahām anūṣata śrutam	mah nū śruta
16	indreṇa sam hi dṛkṣase	indra sam hi dṛś
16	saṁjagmānaḥ abibhyuṣā	saṃgam a bhī
16	mandū samānavarcasā	mandu samāna varcas
16	anavadyaiḥ abhidyubhiḥ	anavadya abhidyu
16	makhaḥ sahasvat arcati	makha sahasvat arc
16	gaṇaiḥ indrasya kāmyaiḥ	gaṇa indra kāmya
16	ataḥ parijman ā gahi	atas parijman ā gam
16	divaḥ vā rocanāt adhi	div vā rocana adhi
16	sam asmin ṛñjate giraḥ	sam idam ṛj gir
16	itaḥ vā sātim īmahe	itas vā sāti ī
16	divaḥ vā pārthivāt adhi	div vā pārthiva adhi
16	indram mahaḥ vā rajasaḥ	indra mah vā rajas
 ---
17	indram it gāthinaḥ bṛhat	indra id gāthin bṛhat
17	indram arkebhiḥ arkiṇaḥ	indra arka arkin
17	indram vāṇīḥ anūṣata	indra vāṇī nū
17	indraḥ it haryoḥ sacā	indra id hari sacā
17	sammiślaḥ ā vacoyujā	sammiśla ā vacas yuj
