word	k	p	sqrt_kp	sum	DF	DFtoWF	cluster
agni	0.237883268231033	0.115961757985657	0.264642359835688	1848	406	0.21969696969697	8
īḍ	0.288169037535358	0.672501746118286	0.731641983982739	143	110	0.769230769230769	5
purohita	0.0624920831311748	0.752005522966813	0.754597619282399	21	18	0.857142857142857	6
yajña	0.694731520360109	0.589976512535876	0.911440711580223	492	313	0.636178861788618	3
deva	0.805624250871522	0.298854556921781	0.859269736337325	1926	642	0.333333333333333	3
ṛtvij	0.200072495861707	0.914746435319736	0.936370676885226	19	18	0.947368421052632	4
hotṛ	0.32227882481444	0.526791106877534	0.617553650470171	295	190	0.644067796610169	5
ratna	0.153510979880904	0.584934004785532	0.604742433518962	111	81	0.72972972972973	7
dhātama	0.650956971993845	0.99103349418817	1.18570332123605	6	6	1	2
pūrva	0.695427203329755	0.834040704350439	1.08592950583563	141	121	0.858156028368794	2
ṛṣi	0.31605201912702	0.725259747275022	0.791132466665156	122	98	0.80327868852459	5
nūtana	0.0783180059871282	0.747207124375978	0.751300337268671	27	23	0.851851851851852	6
uta	0.71222525994151	0.491786552255913	0.86551651277056	750	412	0.549333333333333	3
tad	1.41264720607573	0.30005124155455	1.44416165175233	3358	848	0.252531268612269	3
ā	1.6228038121264	0.408140638720579	1.67334126633727	2398	800	0.333611342785655	1
iha	0.37898938426696	0.56362410680145	0.679194439873283	299	200	0.668896321070234	5
vah	0.409701334792856	0.536969258118682	0.675419253423809	360	227	0.630555555555556	5
rayi	0.561049374316631	0.665776968693799	0.870652268396624	287	209	0.728222996515679	5
aś	0.567180341681224	0.745790901950198	0.936961903932769	197	157	0.796954314720812	5
poṣa	2.12718142722146	0.991274255464712	2.34681176788064	19	19	1	9
eva	0.462408851096514	0.676813965730661	0.819694510034355	225	170	0.755555555555556	5
diva	0.0443913082676123	0.303110255719718	0.306343623031691	104	52	0.5	8
yaśas	0.359077094043253	0.822430318833564	0.897400684646064	79	69	0.873417721518987	4
yad	1.04418121215189	0.260342253582385	1.07614705910082	3023	781	0.258352629837909	3
adhvara	0.345948660791848	0.590961971178488	0.684774800414587	244	169	0.692622950819672	5
viśvatas	2.31786508586205	0.972403869932527	2.51357670313003	67	64	0.955223880597015	9
paribhū	1.39289274267806	0.990902134197206	1.70939674510097	13	13	1	1
as	0.998796354358204	0.424112484687554	1.08511085016559	1382	600	0.434153400868307	3
id	0.602324292607901	0.433829831583334	0.742295679791572	801	413	0.515605493133583	3
gam	0.497365468354568	0.46676025929497	0.682083241817791	579	327	0.564766839378238	5
kavi	0.319054980370668	0.556595990451699	0.641556838546855	259	174	0.671814671814672	5
kratu	0.931665391825736	0.785660027992156	1.21871328946165	259	206	0.795366795366795	3
satya	0.627487214716434	0.772783153820132	0.995456682865095	188	153	0.813829787234043	2
yat	0.607931457441709	0.372401212005545	0.712925886506024	1044	463	0.443486590038314	3
aṅga	0.110415934205626	0.652201356923225	0.661481888262254	60	47	0.783333333333333	7
dāś	0.67156979255627	0.753392488927422	1.00926023831633	224	176	0.785714285714286	2
tvad	1.12286687937823	0.196592638178716	1.13994679445607	4676	856	0.1830624465355	3
bhadra	0.159889060750263	0.499887982277906	0.524835694835515	163	108	0.662576687116564	7
kṛ	1.12273839869854	0.492058432778757	1.22583155987307	1181	567	0.480101608806097	3
aṅgiras	0.124593082332467	0.641342662971302	0.653332876497292	71	55	0.774647887323944	7
upa	0.871211577586907	0.642485781259721	1.08249600093598	494	324	0.65587044534413	3
dhī	0.750999167786312	0.709717608632124	1.03329513403395	313	230	0.73482428115016	3
mad	1.21024237413001	0.220053917982481	1.23008549741848	4371	866	0.198123999084878	3
namas	0.408349659664434	0.691084964284336	0.802712820632598	186	144	0.774193548387097	5
bhṛ	0.821972887236518	0.647992994726998	1.04667776730339	455	306	0.672527472527473	3
i	0.804799335078092	0.575869547950479	0.989609875657487	604	372	0.615894039735099	3
rāj	0.296336348473776	0.803173249917351	0.856097249621544	74	64	0.864864864864865	4
gopā	0.438403435080794	0.849734797325718	0.956162537269067	79	70	0.886075949367089	4
